DATAEMISSAO;CODIGOCLIENTE;DESCRICAOCLIENTE;CODIGOGRUPOPRODUTO;DESCRICAOGRUPOPRODUTO;CODIGOPRODUTO;NOMEPRODUTO;TIPOFATURAMENTO;DESCRICAOTIPOFATURAMENTO;VOLUME;VALORLIQUIDO;MES
2025-12-01;10000964;LOGÍSTICA ESSENCIAL BEBIDAS;90013060;Bebidas Prontas para Consumo (RTD);10003635;Gin Tônica em Lata 269ml;1;VENDA;1315;7311.4;Dezembro
2025-12-01;10000964;LOGÍSTICA ESSENCIAL BEBIDAS;90013060;Bebidas Prontas para Consumo (RTD);10005769;Pack 4 Unidades Gin Tônica 269ml;1;VENDA;730;4015.0;Dezembro
2025-12-01;10000964;LOGÍSTICA ESSENCIAL BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015857;Drink Misto Peach 269ml;1;VENDA;2000;28440.0;Dezembro
2025-12-01;10001683;ATACADISTA BRINDE AMIGO;90013060;Bebidas Prontas para Consumo (RTD);10005769;Pack 4 Unidades Gin Tônica 269ml;1;VENDA;26;377.26;Dezembro
2025-12-01;10004002;COMERCIAL MUNDO DAS BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015849;Drink Misto Blueberry 330ml;3;BONIFICAÇÃO;15;55.05;Dezembro
2025-12-01;10004003;REDE BRINDE FELIZ DISTRIBUIÇÃO;90013006;Bebidas Funcionais Vitaminadas;10022282;Isotônico Uva Vitaminado 500ml;1;VENDA;1366;26718.96;Dezembro
2025-12-01;10004004;CENTRAL DE NUTRIÇÃO E BEBIDAS;90013032;Vinhos Tintos Importados;10003736;Vinho Tinto Malbec Argentino 750ml;1;VENDA;758;13409.02;Dezembro
2025-12-01;10004004;CENTRAL DE NUTRIÇÃO E BEBIDAS;91503402;Bebidas Energéticas Funcionais;10022949;Energético Focus Max 1L (Garrafa);1;VENDA;1080;7840.8;Dezembro
2025-12-01;10004005;DISTRIBUIDORA SABOR DAS BEBIDAS;90013201;Cervejas Artesanais Premium;10001163;Cerveja Artesanal Alpha Gold 600ml;1;VENDA;1591;30929.04;Dezembro
2025-12-01;10004005;DISTRIBUIDORA SABOR DAS BEBIDAS;90013216;Cervejas Industriais Premium;10003734;Cerveja Premium Export 600ml;1;VENDA;219;3644.1600000000003;Dezembro
2025-12-01;10004201;SUPRIMENTOS PREMIUM BEVERAGES;90013172;Bebidas Mistas Alcoólicas;10015853;Drink Misto Fire 269ml;1;VENDA;755;12548.1;Dezembro
2025-12-01;10004202;CENTRAL CONFORT BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015848;Drink Misto Blueberry 269ml;1;VENDA;1249;23805.94;Dezembro
2025-12-01;10004210;CENTRAL LOGÍSTICA DAS BEBIDAS;90013014;Sucos Naturais Premium;10008337;Suco de Laranja Integral 500ml;1;VENDA;1478;8276.8;Dezembro
2025-12-01;10004211;DISTRIBUIDORA TUDO EM BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015852;Drink Misto Senses 269ml;1;VENDA;1402;10613.140000000001;Dezembro
2025-12-01;10004215;CENTRAL DE SUPRIMENTOS DE BEBIDAS;91503402;Bebidas Energéticas Funcionais;10022954;Energético Focus Max Pack 6x250ml;1;VENDA;1685;26572.45;Dezembro
2025-12-01;10004215;CENTRAL DE SUPRIMENTOS DE BEBIDAS;91503409;Bebidas Prontas Geladas;10021538;Hard Seltzer Pack Mix 310ml;1;VENDA;331;5024.58;Dezembro
2025-12-01;10004219;SUPRIMENTOS MASTER BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015849;Drink Misto Blueberry 330ml;1;VENDA;1166;19437.22;Dezembro
2025-12-01;10004219;SUPRIMENTOS MASTER BEBIDAS;90013172;Bebidas Mistas Alcoólicas;10015856;Drink Misto Lemonade 269ml;1;VENDA;801;5126.400000000001;Dezembro
2025-12-01;10004221;DISTRIBUIDORA BRINDE & AMIGOS;91503405;Energéticos de Alta Performance;10023656;Shot Energético Ultra-Concentrado 60ml;1;VENDA;1635;19440.15;Dezembro
